2,1,"Sejarah adalah ilmu yang bertugas menyelidiki perubahan-perubahan, kejadian-kejadian, dan peristiwa yang merupakan realitas dari masa lalu. Pernyataan tersebut merupakan pengertian sejarah menurut",Kartodirdjo,Collingwood,Kuntowijoyo,Kartodirdjo,,
2,1,Istilah Sejarah yang berasal dari kata dalam bahasa Belanda yaitu,Geschiedenis,Geschicte,Geschiedenis,Historia,,
2,1,Pengertian sejarah sebagai kisah adalah,Spanyol.,menunjukkan peristiwa yang benar-benar terjadi pada masa lampau,peristiwa atau kejadian yang sudah tidak mungkin terjadi lagi,peristiwa masa lampau yang telah disusun menjadi tulisan atau buku,,
2,1,Pecahnya Perang Dunia II di Eropa disebabkan oleh serangan Jerman terhadap Polandia. Dari pernyataan tersebut dapat disimpulkan bahwa sejarah bersifat,kausalitas,kontinuitas,anakronis,kausalitas,,
2,1,"Sebagai ilmu, sejarah memiliki syarat-syarat sebagai berikut kecuali",memiliki rumus pasti,memiliki teori,memiliki rumus pasti,bersifat empiris,,
2,1,bersifat empiris,kronik,kronologi,kronik,periodisasi,,
2,1,"Pembabakan sejarah menjadi masa Hindu-Budha masa Islam dan masa kolonial Barat merupakan contoh ",periodisasi,periodisasi,historiografi,kronik,,
2,1,"Sejarah memiliki sifat unik karena pada hakikatnya suatu peristiwa sejarah tidak dapat terulang atau terjadi lagi sama persis. Dengan demikian, sejarah memiliki posisi sebagai",peristiwa,pelajaran,ilmu,peristiwa,,
2,1,Peristiwa sejarah dapat mengilhami jiwa kepahlawanan seseorang Pernyataan di atas yang paling tepat adalah manfaat sejarah dari segi,inspiratif,edukatif,inspiratif,rekreatif,,
2,1,Salah satu tahap dalam penelitian sejarah yang bermaksud menguji keabsahan sumber sejarah disebut,verifikasi,periodisasi,interpretasi,verifikasi,,
2,1,Meneliti keaslian atau otentisitas bahan yang digunakan dalam pembuatan sumber-sumber sejarah disebut,kritik eksterm,historiografi,interpretasi,kritik eksterm,,
2,1,"Sebelum melakukan penelitian, seorang sejarawan harus menetapkan",topik penelitian,topik penelitian,waktu yang dibutuhkan,manfaat penelitian,,
2,1,Penafsiran terhadap sumber-sumber peristiwa sejarah disebut,heuristik,interpretasi,heuristik,kritik,,
2,1,Data terpilihyag telah melalui seleksi seorang peneliti sejarah disebut,fakta sejarah,fakta sejarah,buku sejarah,jejak sejarah,,
2,1,Sumber sejarah yang merupakan kesaksian dai pelakunya disebut,sumber primer,sumber primer,sumber sekunder,sumber tersier,,
2,1,sumber tersier,fakta mental,fakta mental,fakta sosial,fakta lemah,,
2,1,Cerita rakyat yang dipercayai oleh masyarakat sebagi cerita yang benar-benar terjadi dan dianggap suci adalah,mitos,mitos,dongeng,takhayul,,
2,1,Cerita tradisional tentang Roro Jonggrang dapat dikategorikan sebagai ,legenda,legenda,fabel,hikayat,,
2,1,hikayat,nyanyian rakyat,nyanyian rakyat,tari rakyat,permainan rakyat,,
2,1,Tradisi lisan masyarakat praaksara yang berisi tentang cerita rakyat pada zaman dahulu yang ada kaitannya dengan peristiwa sejarah disebut,legenda,legenda,mitos,fabel,,
2,1,Di bawah ini yang termasuk contoh mitos adalah ,Nyai Roro Kidul,Nyai Roro Kidul,Nyai Roro Kidul,Si kancil,,
2,1,Berikut ini merupakan aspek-aspek material kebudayaan yang diwariskan oleh keluarga adalah,perhiasan,perhiasan,kepercayaan,bahasa,,
2,1,Huruf  pallawa yang diindonesiakan menjadi huruf  Kawi pertama kali digunakan pada prasasti,Dinoyo,Dinoyo,Klurak,Kalasan,,
2,1,Istilah Bhinneka Tunggal Ika tan Hana Dharma Mangrwa pertama kali muncul dalam kitab,Sutasoma,Sutasoma,Arjunawijaya,Arjunawiwaha,,
2,1,Salah satu pelabuhan yang terdapat di Provinsi Sumatera Barat adalah Pelabuhan,Teluk Bayur,Teluk Bayur,Bakauheni,Tanjung Emas,,
2,1,Prasasti yang merupakan peninggalan kerajaan Tarumanegara adalah,Prasasti Kebon Kopi,Prasasti Kebon Kopi,Prasasti Canggal,Prasasti Talang Tuo,,
2,1,Sebagian besar penduduk yang berasal dari wilayah Asia Timur dan Asia Tenggara adalah ras,Mongoloid,Mongoloid,Europoid,Negroid,,
2,1,imbulnya suatu penemuan baru dalam masyarakat didorong kuat oleh faktor,adanya kesadaran masyarakat terhadap kurangnya unsur kebudayaan baru,adanya kesadaran masyarakat terhadap kurangnya unsur kebudayaan baru,rasa tidak puas terhadap hal yang sudah ada,keinginan untuk menyaingi bangsa lain yang sudah maju,,
2,1,Salah satu dampak negatif dari perubahan sosial budaya adalah masyarakat tidak siap menerima perubahan sosial sehingga meresponnya secara berlebihan ataupun menolak perubahan tersebut  Kondisi tersebut dikenal sebagai ,cultural shock,cultural shock,organisasi sosial,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
